nombre,SMINA vinardo
C65771837_mmff94,-10.3
C64519995_mmff94,-10.2
C60100722_mmff94,-10.1
C63537948_mmff94,-10.1
C57028380_mmff94,-10.1
C39684194_mmff94,-10.0
C44198012_mmff94,-10.0
C49066518_mmff94,-9.9
C63279469_mmff94,-9.9
C66100766_mmff94,-9.9
C40549838_mmff94,-9.9
C40144200_mmff94,-9.8
C63690790_mmff94,-9.8
C63830790_mmff94,-9.8
C63547041_mmff94,-9.7
C59307055_mmff94,-9.7
C58369306_mmff94,-9.7
C40920653_mmff94,-9.7
C63547030_mmff94,-9.7
C39934495_mmff94,-9.7
C64540132_mmff94,-9.6
C58156955_mmff94,-9.6
C63737644_mmff94,-9.6
C59816596_mmff94,-9.6
C39674851_mmff94,-9.6
C67504122_mmff94,-9.5
C67616008_mmff94,-9.5
C64637523_mmff94,-9.5
C46085119_mmff94,-9.5
C44737509_mmff94,-9.5
C40156283_mmff94,-9.5
C46987047_mmff94,-9.4
C39676288_mmff94,-9.4
C57481622_mmff94,-9.4
C67561196_mmff94,-9.4
C39946772_mmff94,-9.4
C39899588_mmff94,-9.4
C64788511_mmff94,-9.4
C67606536_mmff94,-9.4
C44714601_mmff94,-9.4
C63501973_mmff94,-9.4
C39685463_mmff94,-9.4
C63362653_mmff94,-9.4
C45540866_mmff94,-9.4
C63506871_mmff94,-9.4
C60370764_mmff94,-9.3
C59170369_mmff94,-9.3
C58846951_mmff94,-9.3
C41301681_mmff94,-9.3
C67062067_mmff94,-9.3
C58756990_mmff94,-9.3
C49421233_mmff94,-9.3
C46794937_mmff94,-9.3
C63383452_mmff94,-9.3
C64788507_mmff94,-9.3
C63303079_mmff94,-9.3
C64152495_mmff94,-9.3
C39945876_mmff94,-9.2
C65461026_mmff94,-9.2
C67459848_mmff94,-9.2
C64015023_mmff94,-9.2
C63899644_mmff94,-9.2
C40399227_mmff94,-9.2
C58775456_mmff94,-9.2
C39676320_mmff94,-9.2
C67317349_mmff94,-9.2
C44714542_mmff94,-9.2
C64055370_mmff94,-9.1
C63709318_mmff94,-9.1
C59152069_mmff94,-9.1
C66956376_mmff94,-9.1
C42960602_mmff94,-9.1
C60157633_mmff94,-9.1
C40735114_mmff94,-9.1
C65021902_mmff94,-9.1
C63874061_mmff94,-9.1
C64600259_mmff94,-9.1
C64534955_mmff94,-9.1
C64480290_mmff94,-9.1
C41301143_mmff94,-9.1
C46538787_mmff94,-9.1
C64870236_mmff94,-9.1
C39674068_mmff94,-9.1
C39680643_mmff94,-9.1
C39682172_mmff94,-9.1
C63558260_mmff94,-9.1
C63162962_mmff94,-9.1
C39938710_mmff94,-9.1
C63679641_mmff94,-9.1
C39946773_mmff94,-9.1
C39696245_mmff94,-9.1
C67465362_mmff94,-9.1
C53855404_mmff94,-9.0
C43409730_mmff94,-9.0
C63529044_mmff94,-9.0
C41301147_mmff94,-9.0
C65182741_mmff94,-9.0
C63537953_mmff94,-9.0
C50309538_mmff94,-9.0
C67247637_mmff94,-9.0
C58912583_mmff94,-9.0
C67348607_mmff94,-9.0
C39676252_mmff94,-9.0
C41301116_mmff94,-9.0
C39675113_mmff94,-9.0
C49435731_mmff94,-9.0
C54412336_mmff94,-9.0
C40158628_mmff94,-9.0
C43193639_mmff94,-8.9
C64450877_mmff94,-8.9
C65499076_mmff94,-8.9
C59503388_mmff94,-8.9
C66179974_mmff94,-8.9
C67193173_mmff94,-8.9
C64637524_mmff94,-8.9
C67570665_mmff94,-8.9
C47927872_mmff94,-8.9
C64450346_mmff94,-8.9
C39681351_mmff94,-8.9
C64717885_mmff94,-8.9
C45455981_mmff94,-8.8
C42027150_mmff94,-8.8
C65483163_mmff94,-8.8
C46747771_mmff94,-8.8
C67063629_mmff94,-8.8
C44544936_mmff94,-8.8
C63818916_mmff94,-8.8
C64435864_mmff94,-8.8
C62497166_mmff94,-8.8
C63663935_mmff94,-8.8
C66214462_mmff94,-8.8
C44932553_mmff94,-8.8
C49437370_mmff94,-8.8
C61844929_mmff94,-8.8
C54390507_mmff94,-8.8
C43671660_mmff94,-8.8
C64502579_mmff94,-8.8
C67611801_mmff94,-8.8
C53350486_mmff94,-8.8
C58900060_mmff94,-8.8
C41740366_mmff94,-8.7
C54903902_mmff94,-8.7
C67064357_mmff94,-8.7
C67031406_mmff94,-8.7
C64718320_mmff94,-8.7
C63546948_mmff94,-8.7
C45116411_mmff94,-8.7
C63537967_mmff94,-8.7
C44710252_mmff94,-8.7
C44166773_mmff94,-8.7
C56072556_mmff94,-8.7
C63314841_mmff94,-8.7
C44498216_mmff94,-8.7
C63097723_mmff94,-8.7
C41698726_mmff94,-8.7
C63830600_mmff94,-8.7
C40410690_mmff94,-8.7
C65021742_mmff94,-8.7
C65146163_mmff94,-8.7
C61681335_mmff94,-8.7
C67466006_mmff94,-8.7
C66135910_mmff94,-8.7
C39674785_mmff94,-8.7
C65182016_mmff94,-8.7
C67627565_mmff94,-8.6
C58880658_mmff94,-8.6
C40376143_mmff94,-8.6
C40812079_mmff94,-8.6
C58530864_mmff94,-8.6
C64220384_mmff94,-8.6
C42759351_mmff94,-8.6
C66602747_mmff94,-8.6
C52636936_mmff94,-8.6
C65308535_mmff94,-8.6
C39676295_mmff94,-8.6
C56860329_mmff94,-8.6
C47167525_mmff94,-8.6
C50086480_mmff94,-8.6
C66243664_mmff94,-8.6
C39687097_mmff94,-8.6
C44925830_mmff94,-8.6
C49542446_mmff94,-8.6
C63296267_mmff94,-8.6
C66682310_mmff94,-8.6
C58887293_mmff94,-8.6
C48949366_mmff94,-8.6
C53855400_mmff94,-8.6
C66396557_mmff94,-8.6
C50711916_mmff94,-8.6
C59092474_mmff94,-8.6
C45555403_mmff94,-8.6
C64015086_mmff94,-8.6
C40823625_mmff94,-8.6
C41728603_mmff94,-8.6
C59309563_mmff94,-8.6
C54044259_mmff94,-8.6
C42039300_mmff94,-8.6
C65531809_mmff94,-8.6
C50333219_mmff94,-8.6
C63666772_mmff94,-8.6
C49486347_mmff94,-8.6
C46718177_mmff94,-8.6
C46673644_mmff94,-8.6
C65482852_mmff94,-8.5
C64164328_mmff94,-8.5
C57037714_mmff94,-8.5
C62496733_mmff94,-8.5
C53094532_mmff94,-8.5
C61858981_mmff94,-8.5
C40388644_mmff94,-8.5
C62297419_mmff94,-8.5
C48316538_mmff94,-8.5
C48305410_mmff94,-8.5
C63690787_mmff94,-8.5
C56574766_mmff94,-8.5
C55175186_mmff94,-8.5
C67469278_mmff94,-8.5
C58246828_mmff94,-8.5
C65142676_mmff94,-8.5
C64960851_mmff94,-8.5
C45723583_mmff94,-8.5
C39792459_mmff94,-8.5
C39751585_mmff94,-8.5
C41078952_mmff94,-8.5
C63479934_mmff94,-8.5
C59503589_mmff94,-8.5
C67028437_mmff94,-8.5
C57267772_mmff94,-8.5
C66213058_mmff94,-8.5
C39936308_mmff94,-8.5
C58386257_mmff94,-8.5
C67444032_mmff94,-8.5
C58385565_mmff94,-8.5
C42918069_mmff94,-8.5
C60243428_mmff94,-8.5
C39841012_mmff94,-8.5
C67611805_mmff94,-8.5
C47191004_mmff94,-8.5
C61473905_mmff94,-8.5
C45875282_mmff94,-8.4
C44927850_mmff94,-8.4
C65202978_mmff94,-8.4
C50611508_mmff94,-8.4
C49202855_mmff94,-8.4
C50867096_mmff94,-8.4
C63317427_mmff94,-8.4
C66195188_mmff94,-8.4
C46671313_mmff94,-8.4
C66390199_mmff94,-8.4
C64717891_mmff94,-8.4
C51710143_mmff94,-8.4
C63362778_mmff94,-8.4
C47263824_mmff94,-8.4
C65552670_mmff94,-8.4
C61685438_mmff94,-8.4
C58236959_mmff94,-8.4
C58853715_mmff94,-8.4
C40823361_mmff94,-8.4
C59016887_mmff94,-8.4
C67463606_mmff94,-8.4
C41919142_mmff94,-8.4
C63825314_mmff94,-8.4
C63230239_mmff94,-8.4
C39927330_mmff94,-8.4
C59882810_mmff94,-8.4
C56371026_mmff94,-8.4
C61632408_mmff94,-8.4
C42747820_mmff94,-8.4
C56102312_mmff94,-8.4
C54919882_mmff94,-8.4
C44171477_mmff94,-8.4
C63933355_mmff94,-8.4
C40097217_mmff94,-8.4
C66470856_mmff94,-8.4
C39681125_mmff94,-8.3
C41144682_mmff94,-8.3
C58880695_mmff94,-8.3
C58995024_mmff94,-8.3
C48326521_mmff94,-8.3
C61998771_mmff94,-8.3
C40876938_mmff94,-8.3
C39749598_mmff94,-8.3
C39771556_mmff94,-8.3
C61856092_mmff94,-8.3
C45863497_mmff94,-8.3
C50987906_mmff94,-8.3
C60916804_mmff94,-8.3
C48321945_mmff94,-8.3
C53640009_mmff94,-8.3
C54751840_mmff94,-8.3
