C38964765_mmff94 -10.8
C24257523_mmff94 -10.6
C12608366_mmff94 -10.3
C39674064_mmff94 -10.3
C12850468_mmff94 -10.3
C65771837_mmff94 -10.3
C64519995_mmff94 -10.2
C09663720_mmff94 -10.2
C15840433_mmff94 -10.2
C02794014_mmff94 -10.1
C63537948_mmff94 -10.1
C57028380_mmff94 -10.1
C60100722_mmff94 -10.1
C38688515_mmff94 -10.1
C19563054_mmff94 -10.1
C32605479_mmff94 -10.0
C10191126_mmff94 -10.0
C44198012_mmff94 -10.0
C39684194_mmff94 -10.0
C09782034_mmff94 -10.0
C07540810_mmff94 -10.0
C40549838_mmff94 -9.9
C49066518_mmff94 -9.9
C08845503_mmff94 -9.9
C63279469_mmff94 -9.9
C66100766_mmff94 -9.9
C35685771_mmff94 -9.8
C13638939_mmff94 -9.8
C14184696_mmff94 -9.8
C35926286_mmff94 -9.8
C63830790_mmff94 -9.8
C02247392_mmff94 -9.8
C40144200_mmff94 -9.8
C63690790_mmff94 -9.8
C09158107_mmff94 -9.7
C35379102_mmff94 -9.7
C40920653_mmff94 -9.7
C02520324_mmff94 -9.7
C63547041_mmff94 -9.7
C39934495_mmff94 -9.7
C63547030_mmff94 -9.7
C09951016_mmff94 -9.7
C59307055_mmff94 -9.7
C39467420_mmff94 -9.7
C58369306_mmff94 -9.7
C13146152_mmff94 -9.7
C09703780_mmff94 -9.7
C64540132_mmff94 -9.6
C06268455_mmff94 -9.6
C58156955_mmff94 -9.6
C21247500_mmff94 -9.6
C39674851_mmff94 -9.6
C59816596_mmff94 -9.6
C63737644_mmff94 -9.6
C10395782_mmff94 -9.6
C17157357_mmff94 -9.5
C18322948_mmff94 -9.5
C64637523_mmff94 -9.5
C21971016_mmff94 -9.5
C30587499_mmff94 -9.5
C67616008_mmff94 -9.5
C07045295_mmff94 -9.5
C35351389_mmff94 -9.5
C35926300_mmff94 -9.5
C67504122_mmff94 -9.5
C46085119_mmff94 -9.5
C11666973_mmff94 -9.5
C32091138_mmff94 -9.5
C09306523_mmff94 -9.5
C40156283_mmff94 -9.5
C44737509_mmff94 -9.5
C19296798_mmff94 -9.4
C14347881_mmff94 -9.4
C13639574_mmff94 -9.4
C64788511_mmff94 -9.4
C02654574_mmff94 -9.4
C02564245_mmff94 -9.4
C22067032_mmff94 -9.4
C67561196_mmff94 -9.4
C57481622_mmff94 -9.4
C39676288_mmff94 -9.4
C39685463_mmff94 -9.4
C20356666_mmff94 -9.4
C39899588_mmff94 -9.4
C39946772_mmff94 -9.4
C38932735_mmff94 -9.4
C44714601_mmff94 -9.4
C67606536_mmff94 -9.4
C33280089_mmff94 -9.4
C63362653_mmff94 -9.4
C46987047_mmff94 -9.4
C31813413_mmff94 -9.4
C20534233_mmff94 -9.4
